headline,url,source,published_at,sentiment_score,sentiment_label,source_type,latitude,longitude,country
Why Melbourne’s inner north has Labor worried,https://www.abc.net.au/news/2025-05-02/wills-brunswick-coburg-fawkner-federal-election-2025/105241410,ABC News (AU),2025-05-02T03:03:48Z,-0.296,negative,NewsAPI,,,
"Tranche of 800+ Audio Tapes, Including Conversations with Nazis, Digitized and Available for Research at Hoover",https://www.hoover.org/press/tranche-800-audio-tapes-including-conversations-nazis-digitized-and-available-research-hoover,Hoover.org,2025-05-02T00:00:00Z,0.0,neutral,NewsAPI,,,
What Washington Can Do About India-Pakistan Escalation,http://foreignpolicy.com/2025/05/01/india-pakistan-military-strike-border-trump-pentagon-f16/,Foreign Policy,2025-05-01T22:58:57Z,0.0,neutral,NewsAPI,,,
Donald Trump is looming over Australia's election,https://www.bbc.com/news/articles/c9w80ndlp2yo,BBC News,2025-05-01T22:45:47Z,-0.128,neutral,NewsAPI,,,
"With Trump Back in Office, More Countries Are Expected to Join Abraham Accords",https://www.dailysignal.com/2025/05/01/trump-back-office-more-countries-are-expected-join-abraham-accords/,Daily Signal,2025-05-01T22:31:26Z,0.296,positive,NewsAPI,,,
U.S. ambassador-designate to Vatican clears Senate Foreign Relations Committee,https://www.catholicnewsagency.com/news/263809/us-ambassador-designate-to-vatican-clears-senate-foreign-relations-committee,Catholicnewsagency.com,2025-05-01T22:23:00Z,0.0772,neutral,NewsAPI,,,
Trump announces sweeping sanctions against Iran,https://www.rt.com/news/616646-trump-announce-sanctions-iran/,RT,2025-05-01T20:52:47Z,0.0,neutral,NewsAPI,32.4279,53.688,Iran
Press Conference by Security Council President on Programme of Work for May,https://press.un.org/en/2025/250501_sc.doc.htm,UN News,2025-05-01T20:52:02Z,0.34,positive,NewsAPI,,,
Trump’s Open Corruption Hits Next Level With $2 Billion Crypto Scheme,https://newrepublic.com/post/194722/trump-corruption-2-billion-crypto-deal-uae,The New Republic,2025-05-01T19:40:13Z,0.0,neutral,NewsAPI,,,
"Israel's worst enemy: Not Hamas, not Hezbollah; experts say it's climate change",https://www.jpost.com/environment-and-climate-change/article-852062,The Jerusalem Post,2025-05-01T18:54:49Z,-0.8225,negative,NewsAPI,31.0461,34.8516,Israel
Conflict of Interest? No Problem. Trump Family Will Collect Hundreds of Millions,https://dianeravitch.net/2025/05/01/conflict-of-interest-i-problem-trumps-family-will-collect-many-millions/,Dianeravitch.net,2025-05-01T18:00:00Z,-0.4939,negative,NewsAPI,,,
"77 years later, saving the country is still the central mission",https://www.jpost.com/opinion/article-852293,The Jerusalem Post,2025-05-01T17:43:55Z,0.0,neutral,NewsAPI,,,
Hamas Says Arson 'Legitimate' Method of War as Israel Faces Worst Fires,https://www.newsweek.com/hamas-says-arson-legitimate-method-war-israel-faces-worst-fires-2066860,Newsweek,2025-05-01T17:42:33Z,-0.8402,negative,NewsAPI,31.0461,34.8516,Israel
Next US national security advisor? Here's who Trump might pick to replace Waltz,https://www.foxnews.com/politics/next-us-national-security-advisor-heres-who-trump-might-pick-replace-waltz,Fox News,2025-05-01T17:34:51Z,0.34,positive,NewsAPI,,,
Prince Reza Pahlavi and Iranian Opposition reject nuclear deal legitimacy,https://www.israelnationalnews.com/news/407706,Israelnationalnews.com,2025-05-01T17:27:27Z,-0.4019,negative,NewsAPI,32.4279,53.688,Iran
"Africa Needs Partners, Not Donors",https://www.jpost.com/israel-news/article-852170,The Jerusalem Post,2025-05-01T17:00:00Z,0.0,neutral,NewsAPI,,,
Next round of Iran-US nuclear talks postponed,https://www.bbc.com/news/articles/cze1zpnl1eeo,BBC News,2025-05-01T16:53:29Z,-0.2023,negative,NewsAPI,32.4279,53.688,Iran
McDonald’s U.S. sales miss highlights rising consumer anxiety,https://financialpost.com/news/retail-marketing/mcdonalds-sales-rising-consumer-anxiety,Financial Post,2025-05-01T16:50:12Z,-0.3182,negative,NewsAPI,,,
"Georgetown refuses to cut ties with Israel, stands up to pressure from students",https://www.foxnews.com/us/georgetown-refuses-cut-ties-israel-stands-up-pressure-from-students,Fox News,2025-05-01T16:04:52Z,-0.5106,negative,NewsAPI,31.0461,34.8516,Israel
Michael Waltz Is Leaving The Trump Administration Following War Plan Group Text Fiasco,https://www.huffpost.com/entry/mike-waltz-leaving-trump-administration_n_67e273d3e4b07be5218736cd,HuffPost,2025-05-01T15:09:17Z,-0.802,negative,NewsAPI,,,
Revolving Door Roundup: Steve Doocy Is Florida-Bound for New Fox & Friends Role,https://www.adweek.com/tvnewser/steve-doocy-fox-and-friends-florida/,Adweek,2025-05-01T14:35:12Z,0.4767,positive,NewsAPI,,,
The Great Betrayal – Q and A with Fawaz Gerges on the struggle for political change in the Middle East,https://blogs.lse.ac.uk/lsereviewofbooks/2025/05/01/interview-with-fawaz-gerges-on-the-great-betrayal-the-struggle-for-freedom-and-democracy-in-the-middle-east/,Lse.ac.uk,2025-05-01T14:20:15Z,-0.25,negative,NewsAPI,,,
"Sex-disaggregated data along the gendered health pathways: A review and analysis of global data on hypertension, diabetes, HIV, and AIDS",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1004592,Plos.org,2025-05-01T14:00:00Z,0.0,neutral,NewsAPI,,,
"US-Ukraine Minerals Deal: Has Trump Agreed to Continue Military Support? Even if Not, Will He Fall for an Endowment Effect Trap/",https://www.nakedcapitalism.com/2025/05/us-ukraine-minerals-deal-has-trump-agreed-to-continue-military-support-even-if-not-will-he-fall-for-an-endowment-effect-trap.html,Nakedcapitalism.com,2025-05-01T13:55:24Z,0.5859,positive,NewsAPI,,,
"Dear Mr. President, We Say No",http://www.rollingstone.com/politics/political-commentary/trump-protest-we-say-no-1235327936/,Rolling Stone,2025-05-01T13:30:00Z,0.1027,neutral,NewsAPI,,,
Repare Therapeutics Announces Out-Licensing of its Discovery Platforms to DCx Biotherapeutics,https://financialpost.com/pmn/business-wire-news-releases-pmn/repare-therapeutics-announces-out-licensing-of-its-discovery-platforms-to-dcx-biotherapeutics,Financial Post,2025-05-01T11:10:49Z,0.0,neutral,NewsAPI,,,
McDonald's global sales post surprise drop as tariff chaos hurts consumer confidence,https://finance.yahoo.com/news/mcdonalds-global-sales-post-surprise-110431310.html,Yahoo Entertainment,2025-05-01T11:04:31Z,-0.5423,negative,NewsAPI,,,
Who are the cardinals who will choose the next pope?,https://www.catholicnewsagency.com/news/263773/who-are-the-cardinals-who-will-choose-the-next-pope,Catholicnewsagency.com,2025-05-01T11:00:00Z,0.0,neutral,NewsAPI,,,
Scorpio Tankers Inc. Announces Financial Results for the First Quarter of 2025 and the Declaration of a Dividend,https://www.globenewswire.com/news-release/2025/05/01/3072199/0/en/Scorpio-Tankers-Inc-Announces-Financial-Results-for-the-First-Quarter-of-2025-and-the-Declaration-of-a-Dividend.html,GlobeNewswire,2025-05-01T10:45:00Z,0.0,neutral,NewsAPI,,,
Chart Industries Reports First Quarter 2025 Financial Results,https://www.globenewswire.com/news-release/2025/05/01/3072191/9318/en/Chart-Industries-Reports-First-Quarter-2025-Financial-Results.html,GlobeNewswire,2025-05-01T10:30:00Z,0.0,neutral,NewsAPI,,,
'Don't invade personal space' - New rules in bid to avoid repeat of Eurovision controversies,https://www.thejournal.ie/eurovision-rules-ebu-basel-6692600-May2025/,TheJournal.ie,2025-05-01T10:24:59Z,-0.296,negative,NewsAPI,,,
Radware Lands Largest Cloud Security Services Agreement to Date,https://www.globenewswire.com/news-release/2025/05/01/3072166/8980/en/Radware-Lands-Largest-Cloud-Security-Services-Agreement-to-Date.html,GlobeNewswire,2025-05-01T10:00:00Z,0.6808,positive,NewsAPI,,,
"Political risk tops companies’ ERM risk registers, according to latest Willis Political Risk Survey",https://www.globenewswire.com/news-release/2025/05/01/3072151/0/en/Political-risk-tops-companies-ERM-risk-registers-according-to-latest-Willis-Political-Risk-Survey.html,GlobeNewswire,2025-05-01T09:15:00Z,-0.25,negative,NewsAPI,,,
Will We See More Nuclear Proliferation?,https://www.project-syndicate.org/commentary/will-we-see-nuclear-proliferation-now-that-us-alliances-are-unraveling-by-joseph-s-nye-2025-05,Project Syndicate,2025-05-01T08:25:54Z,0.0,neutral,NewsAPI,,,
"Do Not Let Extremists 'Undermine What Remains' of Middle East Peace Process, Secretary-General Tells Security Council Open Debate",https://www.globalsecurity.org/military/library/news/2025/04/mil-250429-unsc02.htm,Globalsecurity.org,2025-05-01T08:12:56Z,0.7775,positive,NewsAPI,,,
Houthis Claim Attacks Caused Loss of U.S. Aircraft,https://www.newsweek.com/houthis-claim-attacks-caused-loss-us-aircraft-2066528,Newsweek,2025-05-01T07:59:49Z,-0.6369,negative,NewsAPI,,,
Modernizing the Unconventional Warfare Enterprise: The Case for Nonviolent Resistance,https://smallwarsjournal.com/2025/05/01/modernizing-the-unconventional-warfare/,Smallwarsjournal.com,2025-05-01T06:00:13Z,-0.296,negative,NewsAPI,,,
Conflict Scans - Guidance note for the conflict scan methodology: a quick and actionable approach to conflict analysis,https://api.reliefweb.int/v1/reports/916316?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.003531+00:00,-0.7096,negative,ReliefWeb,,,
Remarks of SRSG Patten International Day for the Elimination of Sexual Violence in Conflict: “Attacks against healthcare in conflict-affected areas: impacts for survivors of conflict-related sexual violence” 19 June 2024,https://api.reliefweb.int/v1/reports/4071561?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.003688+00:00,-0.7506,negative,ReliefWeb,,,
Security Council open debate on the protection of civilians in armed conflict: protection challenges and needs faced by women and girls in armed conflict and post-conflict settings - Concept note (S/2015/32),https://api.reliefweb.int/v1/reports/865406?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.003868+00:00,-0.2263,negative,ReliefWeb,,,
The Universities Network for Children and Armed Conflict 2021 International Award is Given to the Special Representative of the Secretary-General for Children and Armed Conflict as head of the Office of Children and Armed Conflict,https://api.reliefweb.int/v1/reports/3797607?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004020+00:00,0.0772,neutral,ReliefWeb,,,
"Women's Roles in Conflict Prevention, Conflict Resolution and Post-Conflict Reconstruction",https://api.reliefweb.int/v1/reports/21813?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004176+00:00,-0.5574,negative,ReliefWeb,,,
New Papers Explore How to Better Respond to Conflict-Related Sexual Violence Against Boys in Conflict,https://api.reliefweb.int/v1/reports/3915534?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004244+00:00,-0.5423,negative,ReliefWeb,,,
"Special Representative of the UN Secretary-General for Children and Armed Conflict in Colombia, Welcomes Sustained Efforts to Protect Children from Conflict",https://api.reliefweb.int/v1/reports/3914130?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004355+00:00,0.5267,positive,ReliefWeb,,,
Statement of SRSG-SVC Pramila Patten Security Council Open Debate on Conflict-Related Sexual Violence “Accountability as Prevention: Ending Cycles of Sexual Violence in Conflict” 13 April 2022,https://api.reliefweb.int/v1/reports/3838389?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004483+00:00,-0.7783,negative,ReliefWeb,,,
Children affected by armed conflict even more vulnerable in these uncertain times – Message from the SRSG for Children and Armed Conflict,https://api.reliefweb.int/v1/reports/3582553?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004665+00:00,-0.8221,negative,ReliefWeb,,,
"Statement by Ms. Virginia Gamba, Special Representative of the Secretary-General for Children and Armed Conflict Virtual Open Debate on Children and Armed Conflict 23 June 2020",https://api.reliefweb.int/v1/reports/3646872?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004833+00:00,-0.2263,negative,ReliefWeb,,,
"Conflict, Stability and Security Fund: Sudan: Conflict Reduction and Stabilisation",https://api.reliefweb.int/v1/reports/3384363?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.004984+00:00,-0.296,negative,ReliefWeb,,,
"UN Special Representative on Sexual Violence in Conflict, Pramila Patten, Condemns the Use of Rape and Other Forms of Conflict-Related Sexual Violence Committed in Syria",https://api.reliefweb.int/v1/reports/2512784?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005048+00:00,-0.9403,negative,ReliefWeb,34.8021,38.9968,Syria
Myanmar: UN Special Representative for Children and Armed Conflict Engages with Myanmar on Better Protecting Children Affected by Armed Conflict,https://api.reliefweb.int/v1/reports/2627184?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005213+00:00,0.34,positive,ReliefWeb,,,
SRSG for Children and Armed Conflict Calls on All Parties to Conflict to Strengthen Efforts to Protect Children in Sudan [EN/AR],https://api.reliefweb.int/v1/reports/2490304?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005340+00:00,0.4588,positive,ReliefWeb,,,
"Children bear brunt of conflict in Afghanistan, says third country report on children and armed conflict",https://api.reliefweb.int/v1/reports/1055901?appname=conflict-tracker,ReliefWeb,2025-05-05T02:40:26.005466+00:00,-0.5574,negative,ReliefWeb,,,
Hamas ‘loses contact’ with group holding captive after Israeli strike,https://www.aljazeera.com/news/liveblog/2025/4/15/live-israel-hamas-say-negotiations-underway-as-israel-attacks-gaza-tents,Al Jazeera,,-0.128,neutral,scraped,31.0461,34.8516,Israel
Trump issues Harvard tax threat after university defies demands,https://www.aljazeera.com/news/liveblog/2025/4/15/trump-live-china-accuses-us-spies-of-cyberattacks-as-tariff-war-flares,Al Jazeera,,-0.5267,negative,scraped,,,
LIVE: Borussia Dortmund vs Barcelona – UEFA Champions League quarterfinal,https://www.aljazeera.com/sports/liveblog/2025/4/15/live-borussia-dortmund-vs-barcelona-uefa-champions-league-quarterfinal,Al Jazeera,,0.5267,positive,scraped,,,
Harvard’s $2.3bn gamble: What Trump demanded; how the university resisted,https://www.aljazeera.com/news/2025/4/15/harvards-2-3bn-gamble-what-trump-demanded-how-the-university-resisted,Al Jazeera,,-0.2263,negative,scraped,,,
Trump-China trade war: Which US companies could be worst hit,https://www.aljazeera.com/news/2025/4/15/trump-china-trade-war-which-us-companies-could-be-worst-hit,Al Jazeera,,-0.8402,negative,scraped,,,
"Iran ‘must stop and eliminate’ nuclear enrichment, says US envoy Witkoff",https://www.aljazeera.com/news/2025/4/15/iran-must-stop-and-eliminate-nuclear-enrichment-says-us-envoy-witkoff,Al Jazeera,,-0.296,negative,scraped,32.4279,53.688,Iran
Russian spy chief threatens Poland and Baltic States,https://www.aljazeera.com/news/2025/4/15/russian-spy-chief-threatens-poland-and-baltic-states,Al Jazeera,,-0.3818,negative,scraped,,,
Did US courts back Kilmar Abrego Garcia’s El Salvador deportation?,https://www.aljazeera.com/news/2025/4/15/did-us-courts-back-kilmar-abrego-garcias-el-salvador-deportation,Al Jazeera,,0.0,neutral,scraped,,,
Russia’s Putin open to Ukraine peace deal: US envoy,https://www.aljazeera.com/news/2025/4/15/us-envoy-witkoff-says-putin-open-to-permanent-peace-with-ukraine,Al Jazeera,,0.5423,positive,scraped,,,
"Why bonds, not stocks, could predict the next economic crisis in the US",https://www.aljazeera.com/economy/2025/4/15/why-bonds-not-stocks-could-predict-the-next-economic-crisis-in-the-us,Al Jazeera,,-0.6249,negative,scraped,,,
